,pole,verti_mix,horiz_mix,sp_tot,bat_tot,bat_vac,GSI,FAR,mxi_log,mxi_bur,mxi_ind,mxi_comm,mxi_equip,dom_sp
0,Calevoet,0.0,1.0,16609.0,8,0,0.35610484515630864,0.6050937532309341,0.13245830573785297,61.556987175627675,38.310554518634476,0.0,0.0,bureau
1,Dunant - Arbre Unique,0.2,0.2,35325.899999999994,5,0,0.4964380292085323,1.0941853526468677,55.706974203063474,8.271551467903155,22.75950506568835,13.261969263345028,0.0,logement
2,Pôle Biestebroek,0.08771929824561403,0.24285714285714285,367862.55,114,18,0.34311664258454205,1.0034602445400012,31.53336483966634,30.24161062331569,26.861475841995876,5.31799445200388,6.0455542430182145,logement
3,Pôle Birmingham,0.047058823529411764,0.358974358974359,179563.87,85,8,0.4440533083494312,0.8980474649631183,2.8413678096824264,29.019618478928976,27.91255278692757,12.303850434945517,27.922610489515513,bureau
4,Pôle Erasme,0.0625,0.17647058823529413,69698.82999999999,32,2,0.14052707705021975,0.24110512596609418,11.005909281404008,28.265897720234335,12.07480814240354,20.502266680803686,23.28446546376747,bureau
5,Pôle Mommaerts-Reyers,0.1111111111111111,0.1746031746031746,187225.09999999998,90,7,0.5225804145247389,1.0444133744907416,25.822333650776528,17.775901842220943,22.159352565441285,28.802441552975537,5.43997038858572,commerce
6,Pôle OTAN,0.03278688524590164,0.15789473684210525,215766.7,183,17,0.3138871136820551,0.47399897373791766,12.545999915649633,7.133074751571952,28.48030766564071,5.136826025517376,46.70379164162032,équipements
7,Pôle Quai des Usines,0.043478260869565216,0.2549019607843137,187252.58,115,6,0.36561314157777397,0.4742169601801022,4.909032495039589,18.10695478801948,70.96557494695134,5.234811717948025,0.7836260520415793,industrie
8,Pôle Tour et Taxis,0.0,0.75,13624.21,13,0,0.6636184721891701,0.6556140579642077,1.746743480906416,11.224871020044464,72.84811376219245,14.18027173685667,0.0,industrie
9,Rue d'Osseghem,0.0,0.5,48575.149999999994,13,1,0.6425137503539161,1.2725972678119224,0.0,45.862462596615764,45.795514784823105,6.2843861521786355,2.0576364663825024,bureau
